image,occlusion,cited_drop,control_drop,n_features,dataset,effect_over_control
MHIST_adx.png,black,0.15353277325630185,0.25990084665162216,2,MHIST,-0.10636807339532031
MHIST_adx.png,blur,0.061043232679366996,0.1493081911688759,2,MHIST,-0.0882649584895089
MHIST_adx.png,mean,0.0899073183536529,0.19228334701250466,2,MHIST,-0.10237602865885176
MHIST_ady.png,black,0.37731511394182843,0.336283278465271,3,MHIST,0.04103183547655742
MHIST_ady.png,blur,0.25600520769755036,0.2481375599900881,3,MHIST,0.00786764770746226
MHIST_ady.png,mean,0.292281707127889,0.2786984677116076,3,MHIST,0.013583239416281367
MHIST_aeb.png,black,-0.19576224684715268,-0.25626046806573866,2,MHIST,0.060498221218585974
MHIST_aeb.png,blur,-0.1333629488945007,-0.24070502370595925,2,MHIST,0.10734207481145855
MHIST_aeb.png,mean,-0.1354698836803436,-0.24389654994010923,2,MHIST,0.10842666625976563
MHIST_aec.png,black,0.31971444686253864,0.3754522867500782,3,MHIST,-0.05573783988753955
MHIST_aec.png,blur,0.3004698753356933,0.3367583706974983,3,MHIST,-0.03628849536180501
MHIST_aec.png,mean,0.36908675233523053,0.38458234220743176,3,MHIST,-0.015495589872201232
MHIST_aee.png,black,0.21186397969722745,0.34546303376555443,2,MHIST,-0.13359905406832698
MHIST_aee.png,blur,0.05781900882720945,0.2295296885073185,2,MHIST,-0.17171067968010906
MHIST_aee.png,mean,0.0493643283843994,0.2393918745219707,2,MHIST,-0.19002754613757128
MHIST_aej.png,black,0.3926021506388982,0.4409804419924815,3,MHIST,-0.04837829135358329
MHIST_aej.png,blur,0.32735393444697064,0.41887881706158314,3,MHIST,-0.0915248826146125
MHIST_aej.png,mean,0.33467810352643323,0.39877838119864456,3,MHIST,-0.06410027767221133
MHIST_aek.png,black,0.23680454492568964,0.3250060919672251,2,MHIST,-0.08820154704153543
MHIST_aek.png,blur,0.24088597297668454,0.219169296324253,2,MHIST,0.021716676652431544
MHIST_aek.png,mean,0.1701646745204925,0.19997126311063765,2,MHIST,-0.02980658859014515
MHIST_aep.png,black,0.17077022790908808,0.15038858652114862,2,MHIST,0.020381641387939464
MHIST_aep.png,blur,0.13726204633712766,0.17849172502756117,2,MHIST,-0.04122967869043351
MHIST_aep.png,mean,0.2237419337034225,0.21319910287857055,2,MHIST,0.01054283082485194
MHIST_aeq.png,black,0.3714707568287849,0.43456035703420637,2,MHIST,-0.06308960020542148
MHIST_aeq.png,blur,0.2918538302183151,0.33237182274460786,2,MHIST,-0.040517992526292734
MHIST_aeq.png,mean,0.3253231644630432,0.40070523917675016,2,MHIST,-0.07538207471370695
MHIST_aes.png,black,0.22791480024655655,0.36838908394177755,3,MHIST,-0.140474283695221
MHIST_aes.png,blur,0.16064461072285965,0.27189290374517444,3,MHIST,-0.11124829302231479
MHIST_aes.png,mean,0.18278590838114414,0.3692655459046364,3,MHIST,-0.18647963752349225
MHIST_aez.png,black,0.19254715243975315,0.34523813898364697,3,MHIST,-0.15269098654389382
MHIST_aez.png,blur,0.23737671971321103,0.29740258480111753,3,MHIST,-0.0600258650879065
MHIST_aez.png,mean,0.18946496645609537,0.30930346027016636,3,MHIST,-0.119838493814071
MHIST_afc.png,black,0.16498243808746335,0.15254903286695476,2,MHIST,0.012433405220508592
MHIST_afc.png,blur,0.1122955381870269,0.1065086737275123,2,MHIST,0.005786864459514596
MHIST_afc.png,mean,0.1171678304672241,0.20324180126190183,2,MHIST,-0.08607397079467774
MHIST_aff.png,black,0.1305800378322601,0.2369698911905288,2,MHIST,-0.1063898533582687
MHIST_aff.png,blur,0.10542398691177365,0.1503971517086029,2,MHIST,-0.04497316479682925
MHIST_aff.png,mean,0.1243214607238769,0.243563662469387,2,MHIST,-0.11924220174551009
MHIST_afg.png,black,0.11894199252128596,0.2765762197652033,2,MHIST,-0.15763422724391735
MHIST_afg.png,blur,0.11358293890953061,0.1893812817122255,2,MHIST,-0.0757983428026949
MHIST_afg.png,mean,0.20624466240406034,0.2899905463946717,2,MHIST,-0.08374588399061136
